Category,Path,Description
System Architecture & Documentation,00_DOCUMENTATION,"High-level design documents, READMEs, and architecture diagrams."
Project Management & Processes,00_PROJECT_MANAGEMENT,"Execution plans, role definitions, process catalogs, and RACI matrices."
Core Application Logic,01_AGENTS,AI agents for the GALAXYDEVELOPMENT system.
Data & Databases,02_DATA,"Raw data, processed data, database schemas (.sql), and caches."
Templates & Standards,03_TEMPLATES,Reusable code templates and documentation templates.
Templates & Standards,04_STANDARDS,"Industry standards (ISO, NIST, etc.)."
Project Management & Processes,05_ROLES,Detailed role profiles for the 38 roles in the system.
Project Management & Processes,05_ROLES/ROLE_1,Role Profile: ROLE_1
Project Management & Processes,05_ROLES/ROLE_2,Role Profile: ROLE_2
Project Management & Processes,05_ROLES/ROLE_3,Role Profile: ROLE_3
Project Management & Processes,05_ROLES/ROLE_4,Role Profile: ROLE_4
Project Management & Processes,05_ROLES/ROLE_5,Role Profile: ROLE_5
Project Management & Processes,05_ROLES/ROLE_6,Role Profile: ROLE_6
Project Management & Processes,05_ROLES/ROLE_7,Role Profile: ROLE_7
Project Management & Processes,05_ROLES/ROLE_8,Role Profile: ROLE_8
Project Management & Processes,05_ROLES/ROLE_9,Role Profile: ROLE_9
Project Management & Processes,05_ROLES/ROLE_10,Role Profile: ROLE_10
Project Management & Processes,05_ROLES/ROLE_11,Role Profile: ROLE_11
Project Management & Processes,05_ROLES/ROLE_12,Role Profile: ROLE_12
Project Management & Processes,05_ROLES/ROLE_13,Role Profile: ROLE_13
Project Management & Processes,05_ROLES/ROLE_14,Role Profile: ROLE_14
Project Management & Processes,05_ROLES/ROLE_15,Role Profile: ROLE_15
Project Management & Processes,05_ROLES/ROLE_16,Role Profile: ROLE_16
Project Management & Processes,05_ROLES/ROLE_17,Role Profile: ROLE_17
Project Management & Processes,05_ROLES/ROLE_18,Role Profile: ROLE_18
Project Management & Processes,05_ROLES/ROLE_19,Role Profile: ROLE_19
Project Management & Processes,05_ROLES/ROLE_20,Role Profile: ROLE_20
Project Management & Processes,05_ROLES/ROLE_21,Role Profile: ROLE_21
Project Management & Processes,05_ROLES/ROLE_22,Role Profile: ROLE_22
Project Management & Processes,05_ROLES/ROLE_23,Role Profile: ROLE_23
Project Management & Processes,05_ROLES/ROLE_24,Role Profile: ROLE_24
Project Management & Processes,05_ROLES/ROLE_25,Role Profile: ROLE_25
Project Management & Processes,05_ROLES/ROLE_26,Role Profile: ROLE_26
Project Management & Processes,05_ROLES/ROLE_27,Role Profile: ROLE_27
Project Management & Processes,05_ROLES/ROLE_28,Role Profile: ROLE_28
Project Management & Processes,05_ROLES/ROLE_29,Role Profile: ROLE_29
Project Management & Processes,05_ROLES/ROLE_30,Role Profile: ROLE_30
Project Management & Processes,05_ROLES/ROLE_31,Role Profile: ROLE_31
Project Management & Processes,05_ROLES/ROLE_32,Role Profile: ROLE_32
Project Management & Processes,05_ROLES/ROLE_33,Role Profile: ROLE_33
Project Management & Processes,05_ROLES/ROLE_34,Role Profile: ROLE_34
Project Management & Processes,05_ROLES/ROLE_35,Role Profile: ROLE_35
Project Management & Processes,05_ROLES/ROLE_36,Role Profile: ROLE_36
Project Management & Processes,05_ROLES/ROLE_37,Role Profile: ROLE_37
Project Management & Processes,05_ROLES/ROLE_38,Role Profile: ROLE_38
Project Management & Processes,06_PROCESSES,Definitions and workflows for the 47 core micro-processes.
Project Management & Processes,06_PROCESSES/P1/P1.1_Анализ_текущей_документации,Process Definition for Анализ текущей документации (ID: None)
Project Management & Processes,06_PROCESSES/P1/P1.2_Техническая_ревизия,Process Definition for Техническая ревизия (ID: None)
Project Management & Processes,06_PROCESSES/P1/P1.3_Анализ_команды,Process Definition for Анализ команды (ID: None)
Project Management & Processes,06_PROCESSES/P1/P1.4_Оценка_зрелости_процессов,Process Definition for Оценка зрелости процессов (ID: None)
Project Management & Processes,06_PROCESSES/P2/P2.1_Архитектурное_проектирование_Multi-Agent_системы,Process Definition for Архитектурное проектирование Multi-Agent системы (ID: None)
Project Management & Processes,06_PROCESSES/P2/P2.2_CLI-First_архитектура,Process Definition for CLI-First архитектура (ID: None)
Project Management & Processes,06_PROCESSES/P2/P2.3_UX/UI_дизайн_для_мобильных_приложений,Process Definition for UX/UI дизайн для мобильных приложений (ID: None)
Project Management & Processes,06_PROCESSES/P2/P2.4_Техническое_проектирование_Database_Schema,Process Definition for Техническое проектирование Database Schema (ID: None)
Project Management & Processes,06_PROCESSES/P3/P3.1_ResearchAgent_разработка,Process Definition for ResearchAgent разработка (ID: None)
Project Management & Processes,06_PROCESSES/P3/P3.2_ComposerAgent_разработка,Process Definition for ComposerAgent разработка (ID: None)
Project Management & Processes,06_PROCESSES/P3/P3.3_ReviewerAgent_разработка,Process Definition for ReviewerAgent разработка (ID: None)
Project Management & Processes,06_PROCESSES/P3/P3.4_IntegratorAgent_разработка,Process Definition for IntegratorAgent разработка (ID: None)
Project Management & Processes,06_PROCESSES/P3/P3.5_PublisherAgent_разработка,Process Definition for PublisherAgent разработка (ID: None)
Project Management & Processes,06_PROCESSES/P4/P4.1_SwiftUI_приложения_разработка,Process Definition for SwiftUI приложения разработка (ID: None)
Project Management & Processes,06_PROCESSES/P4/P4.2_Core_Data_implementation,Process Definition for Core Data implementation (ID: None)
Project Management & Processes,06_PROCESSES/P4/P4.3_REST_API_клиент,Process Definition for REST API клиент (ID: None)
Project Management & Processes,06_PROCESSES/P5/P5.1_Unit_тестирование,Process Definition for Unit тестирование (ID: None)
Project Management & Processes,06_PROCESSES/P5/P5.2_Integration_тестирование,Process Definition for Integration тестирование (ID: None)
Project Management & Processes,06_PROCESSES/P5/P5.3_Security_тестирование,Process Definition for Security тестирование (ID: None)
Project Management & Processes,06_PROCESSES/P5/P5.4_Performance_тестирование,Process Definition for Performance тестирование (ID: None)
Project Management & Processes,06_PROCESSES/P6/P6.1_App_Store_metadata_подготовка,Process Definition for App Store metadata подготовка (ID: None)
Project Management & Processes,06_PROCESSES/P6/P6.2_Kubernetes_production_конфигурация,Process Definition for Kubernetes production конфигурация (ID: None)
Project Management & Processes,06_PROCESSES/P6/P6.3_CI/CD_pipeline_настройка,Process Definition for CI/CD pipeline настройка (ID: None)
Project Management & Processes,06_PROCESSES/P7/P7.1_App_Store_Connect_submission,Process Definition for App Store Connect submission (ID: None)
Project Management & Processes,06_PROCESSES/P7/P7.2_Production_deployment_мониторинг,Process Definition for Production deployment мониторинг (ID: None)
Deliverables,07_DELIVERABLES,Generated artifacts and deliverables from the processes.
"Logs, Reports & Journals",08_LOGS,Application logs from agent and system execution.
"Logs, Reports & Journals",09_JOURNALS,System journals and operational records.
"Logs, Reports & Journals",10_REPORTS,Generated reports from system execution.
