process_id,name,domain,owner,itil_category,iso_compliance,cobit_alignment,priority
001,Incident Management,ITSM,Service Desk Manager,Service Operation,true,DSS02,1
002,Change Management,ITSM,Change Manager,Service Transition,true,BAI06,1
003,Problem Management,ITSM,Problem Manager,Service Operation,true,DSS03,2
004,Service Request Management,ITSM,Service Desk Manager,Service Operation,true,DSS02,2
005,Configuration Management,ITSM,Configuration Manager,Service Transition,true,BAI10,2
006,Release Management,ITSM,Release Manager,Service Transition,true,BAI10,1
007,Deployment Management,ITSM,Release Manager,Service Transition,true,BAI10,1
008,Capacity Management,Infrastructure,Capacity Manager,Service Design,true,APO03,2
009,Availability Management,Infrastructure,Availability Manager,Service Design,true,DSS04,1
010,Performance Management,Infrastructure,Performance Manager,Service Operation,true,MEA01,2
011,Security Incident Response,Security,Security Officer,Service Operation,true,APO13,1
012,Vulnerability Management,Security,Security Officer,Service Operation,true,APO12,1
013,Access Management,Security,Security Officer,Service Operation,true,DSS05,1
014,Identity Management,Security,Identity Manager,Service Operation,true,DSS05,2
015,Risk Management,Governance,Risk Manager,Service Strategy,true,APO12,1
016,Compliance Management,Governance,Compliance Officer,Service Strategy,true,APO01,1
017,Service Level Management,ITSM,SLA Manager,Service Design,true,APO09,2
018,Supplier Management,ITSM,Supplier Manager,Service Strategy,true,APO10,2
019,Financial Management,ITSM,Financial Manager,Service Strategy,true,APO06,3
020,Knowledge Management,ITSM,Knowledge Manager,Service Transition,true,APO07,2
021,Code Review Process,Development,Tech Lead,Development,false,BAI03,2
022,Unit Testing,Development,QA Lead,Development,false,BAI03,2
023,Integration Testing,Development,QA Lead,Development,false,BAI03,1
024,Performance Testing,Development,QA Lead,Development,false,BAI03,1
025,Security Testing,Development,Security Tester,Development,false,APO13,1
026,User Acceptance Testing,Development,Business Analyst,Development,false,BAI03,2
027,API Development,Development,API Developer,Development,false,BAI03,2
028,Database Design,Development,Database Engineer,Development,false,BAI04,2
029,Infrastructure Provisioning,Infrastructure,DevOps Engineer,Infrastructure,false,BAI04,2
030,Container Management,Infrastructure,DevOps Engineer,Infrastructure,false,BAI04,2
031,CI/CD Pipeline,Development,DevOps Engineer,Infrastructure,false,BAI03,1
032,Monitoring Setup,Infrastructure,SRE,Infrastructure,false,DSS01,1
033,Log Management,Infrastructure,SRE,Infrastructure,false,DSS01,2
034,Backup and Recovery,Infrastructure,Backup Admin,Infrastructure,false,DSS04,1
035,Disaster Recovery,Infrastructure,DR Manager,Infrastructure,false,DSS04,1
036,Business Continuity,Governance,BC Manager,Service Strategy,true,APO12,1
037,Data Backup,Data Management,Data Engineer,Infrastructure,false,DSS04,1
038,Data Archiving,Data Management,Data Engineer,Infrastructure,false,DSS04,2
039,Data Migration,Data Management,Data Engineer,Development,false,BAI04,2
040,Data Quality Assessment,Data Management,Data Scientist,Data Management,false,BAI04,2
041,ETL Process Development,Data Management,Data Engineer,Development,false,BAI04,2
042,Data Warehouse Management,Data Management,DW Architect,Data Management,false,BAI04,2
043,Business Intelligence,Data Management,BI Developer,Data Management,false,BAI04,2
044,Machine Learning Model Development,AI/ML,ML Engineer,AI/ML,false,BAI04,2
045,AI Model Deployment,AI/ML,MLOps Engineer,AI/ML,false,BAI04,1
046,AI Model Monitoring,AI/ML,ML Engineer,AI/ML,false,MEA01,1
047,Prompt Engineering,AI/ML,Prompt Engineer,AI/ML,false,BAI03,2
048,LLM Integration,AI/ML,LLM Specialist,AI/ML,false,BAI03,2
049,AI Quality Assurance,AI/ML,AI QA Engineer,AI/ML,false,BAI03,1
050,Frontend Development,Development,Frontend Lead,Development,false,BAI03,2
051,Mobile Development,Development,Mobile Developer,Development,false,BAI03,2
052,UI/UX Design,Design,UI/UX Designer,Design,false,BAI03,3
053,Responsive Design,Development,Frontend Developer,Development,false,BAI03,3
054,Cross-browser Testing,QA,QA Engineer,Development,false,BAI03,2
055,Accessibility Testing,QA,Accessibility Tester,Development,false,BAI03,2
056,Load Testing,QA,Performance Tester,Development,false,BAI03,1
057,Stress Testing,QA,Performance Tester,Development,false,BAI03,1
058,API Documentation,Development,Technical Writer,Development,false,BAI03,2
059,Technical Documentation,Development,Technical Writer,Development,false,BAI07,2
060,User Documentation,Development,Technical Writer,Development,false,BAI07,3
061,Requirements Gathering,Project Management,Business Analyst,Project Management,false,BAI01,2
062,Project Planning,Project Management,Project Manager,Project Management,false,APO05,2
063,Sprint Planning,Development,Scrum Master,Project Management,false,APO05,2
064,Daily Standup,Development,Scrum Master,Project Management,false,APO05,3
065,Sprint Review,Development,Scrum Master,Project Management,false,APO05,3
066,Sprint Retrospective,Development,Scrum Master,Project Management,false,APO05,2
067,Stakeholder Management,Project Management,Project Manager,Project Management,false,APO08,2
068,Resource Management,Project Management,Resource Manager,Project Management,false,APO01,2
069,Budget Management,Project Management,Financial Manager,Project Management,false,APO06,2
